Part name,Color,Quantity
19 mm diameter rubber feet,Black,8
"#4 US wood screw, 15.7 mm",Gold,17
"#4 US wood screw, 8.5 mm",Black,19
"#8 US machine screw,  12 mm",Silver,4
Epoxy,,
Super glue,,
